"asb_control_id","feature_name","feature_supported_original","feature_enabled_by_default_original","status_2025","verdict_2025","azure_api_property","script_module","script_function","notes"
"IM-1","Azure AD Authentication Required for Data Plane Access","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
"AM-5","Microsoft Defender for Cloud - Adaptive Application Controls","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Adaptive Application Controls targets VMs; Azure Attestation is a PaaS service; not_applicable"
"IM-8","Service Credential and Secrets Support Integration and Storage in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Attestation uses token-based AAD auth; no service credentials requiring Key Vault storage; not_applicable"
"ES-2","Anti-Malware Solution","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Attestation is PaaS; underlying compute anti-malware is Microsoft-managed; not_applicable"
"ES-3","Anti-Malware Solution Health Monitoring","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; anti-malware health monitoring targets customer VMs; PaaS service not applicable"
"PV-3","Azure Automation State Configuration","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Automation DSC targets customer VMs; PaaS attestation service not applicable"
"PV-6","Azure Automation Update Management","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Update Management targets customer-owned VMs; PaaS attestation service not applicable"
"BR-1","Azure Backup","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Attestation is a stateless PaaS service with no customer data requiring backup; not_applicable"
"PV-3","Azure Policy Guest Configuration Agent","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Guest Configuration targets VMs; PaaS attestation service not applicable"
"AM-2","Azure Policy Support","True","True","implemented","implemented","N/A — microsoft_managed PASS static","","","microsoft_managed: platform-enforced, enabled by default, not customer-configurable"
"PA-7","Azure RBAC for Data Plane","True","False","implemented","implemented","Microsoft.Attestation/attestationProviders/*/read (RBAC assignment)","","","LIVE-DIRECT: Azure RBAC controls who can create/manage attestation providers; check RBAC assignments on resource; Attestation Contributor/Reader built-in roles"
"DP-7","Certificate Management in Azure Key Vault","Not Applicable","Not Applicable","still_not_applicable","still_not_applicable","","","","feature_supported=Not Applicable; Azure Attestation does not manage certificates via Key Vault; attestation uses signed tokens; not_applicable"
